stand,latcoord,longcoord
9A,48.68851355555555,9.191992222222222
9,48.68847805555555,9.192193125
10,48.688616249999995,9.192930277777778
11,48.688753125,9.19364048611111
12,48.68888465277777,9.19432875
13,48.689046319444444,9.195181111111111
14,48.68917361111111,9.195852083333333
15,48.689299444444444,9.196513680555556
16,48.68943284722222,9.197202291666667
17,48.68957694444444,9.197818402777777
18,48.689744166666664,9.198416388888889
19,48.68991840277778,9.198986736111111
24,48.69046694444444,9.199805555555557
24A,48.690497916666665,9.199911111111112
25,48.69064486111111,9.200498402777777
26A,48.690740902777776,9.201000208333333
26,48.690765138888885,9.201123124999999
27,48.69087993055555,9.201724583333332
28,48.69100493055555,9.202379027777777
28A,48.69102618055555,9.202494583333333
29,48.69117659722222,9.203280694444443
30,48.69141458333333,9.204370416666666
31,48.69160513888889,9.204965555555555
32,48.69175027777777,9.20558048611111
33,48.69187041666666,9.206206458333332
34,48.69198409722222,9.206806388888888
35,48.692094930555555,9.207381597222222
36,48.69220298611111,9.207955069444445
40,48.6871625,9.192657916666667
41,48.687285902777774,9.193309583333333
42,48.68740986111111,9.193962291666667
43,48.68753402777777,9.194617569444445
44,48.68770847222222,9.19554375
45,48.687831249999995,9.196201666666667
46,48.687950625,9.196834930555555
47,48.68807083333333,9.197466111111112
48,48.68820888888889,9.198095972222223
50,48.68904243055555,9.200262638888887
51,48.68921013888888,9.200876458333333
52,48.68935479166666,9.201538055555556
53,48.68948208333333,9.202207152777778
54,48.689606805555556,9.202873194444443
55,48.68973395833333,9.203539999999998
56,48.689854652777775,9.204171944444443
60,48.69081283333333,9.205596222222221
61,48.69095576388889,9.20628097222222
62,48.69107291666666,9.206913958333333
63,48.691193541666664,9.207562916666667
64,48.69131541666666,9.208209513888889
71,48.69040923611111,9.206517638888888
71A,48.69044472222222,9.206704652777777
72,48.69052868055555,9.207151458333332
73,48.690650972222215,9.207797638888888
74,48.69077680555555,9.208441944444443
74A,48.69078222222222,9.208470208333333
75,48.69089951388889,9.209090416666665
GA,48.6918095,9.211451499999999
100,48.68313201388889,9.202172847222222
200,48.68313201388889,9.202172847222222
101,48.68331722222222,9.203153680555555
201,48.68331722222222,9.203153680555555
102,48.68347111111111,9.203965694444443
202,48.68347111111111,9.203965694444443
103,48.683618749999994,9.20474736111111
203,48.683618749999994,9.20474736111111
104,48.683773402777774,9.20556611111111
204,48.683773402777774,9.20556611111111
105,48.683860555555555,9.206443333333333
106,48.68402979166666,9.20734986111111
MIL,48.68188083333333,9.198622896825396
POL,48.681880694444445,9.194358819444444
