stand,latcoord,longcoord
A01,50.874934027777776,7.1227640972222215
A03,50.875271874999996,7.121597569444444
A10,50.87494548611111,7.123022986111111
A11,50.87500222222222,7.122820833333333
A12,50.875106180555555,7.122498194444444
A14,50.87527979166667,7.121980902777777
A16,50.87544326388889,7.121471319444444
A17,50.87554222222222,7.121161458333333
A18,50.87562243055555,7.120911874999999
A20,50.87574291666667,7.1204455555555555
A21,50.875819722222225,7.120198402777778
A24x,50.87614652777778,7.1200834722222215
B10,50.87834479166666,7.124653125
B11,50.878174375,7.124566319444444
B12,50.877968055555556,7.124461944444445
B14,50.87766722222222,7.12416
B16,50.87731472222222,7.124046388888888
B17,50.87706111111111,7.123964444444444
B18,50.87692618055556,7.123904791666666
B20,50.87646388888889,7.123711944444444
B21,50.87659333333333,7.123422222222222
B22,50.876107222222224,7.123538055555555
B23,50.87645111111111,7.123009444444444
B24,50.87640277777778,7.123013888888888
B26,50.876530277777775,7.122386319444444
B27,50.876639375,7.122257152777777
B28,50.876825000000004,7.1218322222222215
B29,50.877148472222224,7.121780208333333
B30,50.87727145833333,7.121671597222222
B40x,50.87676916666667,7.120675277777777
B42x,50.87677333333333,7.12008
B44x,50.87643388888889,7.120213611111111
C1,50.879396944444444,7.122988333333333
C2,50.879866944444444,7.123758888888888
C3,50.87964027777778,7.124281666666667
C4,50.87936,7.124741944444444
C5,50.879055,7.1250697222222215
C6,50.878728333333335,7.124655
C6,50.878794444444445,7.124699027777777
C10,50.8797725,7.122093333333333
C12,50.880159444444445,7.1224075
C14,50.88046027777778,7.122735277777777
D10,50.880575416666666,7.121948680555556
D11,50.88068,7.121686597222222
D12,50.88081111111111,7.121383194444444
D14,50.881012569444444,7.120937777777778
D15,50.88111833333333,7.1206990277777775
D16,50.88124888888889,7.120401805555555
D18,50.881448819444444,7.119987847222222
D19,50.881567430555556,7.119726458333333
D20,50.881698194444446,7.119436805555555
D22,50.88194284722222,7.119059166666666
D23,50.88206319444444,7.118803333333332
D24,50.88219,7.118531388888888
D26,50.88253111111111,7.118104722222222
D28,50.88241027777778,7.117540555555555
D30,50.88265972222222,7.116149444444444
D32,50.883089166666664,7.116243055555556
D34,50.88323111111111,7.116811388888888
D36,50.883334166666664,7.117373333333333
D38,50.883454444444446,7.117908333333333
D40,50.88355333333333,7.118470277777777
D42,50.883673611111114,7.119065555555555
D50,50.88374145833333,7.119662430555555
D51,50.88360333333333,7.119881458333333
D52,50.88339,7.120082222222222
D53,50.883280625,7.120388888888888
D54,50.88317104166667,7.120623541666666
D56,50.882994652777775,7.120975694444444
D57,50.8828975,7.121190694444444
D58,50.88271972222222,7.121560277777777
D60,50.88250055555556,7.122035277777777
D62,50.88226861111111,7.122550277777777
D64,50.882036666666664,7.123011944444444
V14,50.872194444444446,7.123611111111111
V13,50.87238888888889,7.123916666666666
V12,50.87255555555556,7.1242777777777775
V11,50.87277777777778,7.124555555555555
V10,50.87294444444444,7.124861111111111
V23,50.871916666666664,7.124027777777777
V22,50.87213888888889,7.124472222222222
V21,50.87238888888889,7.124888888888888
V20,50.872638888888886,7.125277777777777
V33,50.87136111111111,7.124916666666667
V32,50.871611111111115,7.12536111111111
V31,50.871833333333335,7.12575
V30,50.87202777777778,7.126277777777777
V44,50.870916666666666,7.125555555555555
V43,50.87116666666667,7.125972222222222
V42,50.87138888888889,7.126388888888888
V40,50.87155555555555,7.1267499999999995
V56,50.87038888888889,7.126388888888888
V530,50.87061111111111,7.1267499999999995
V530,50.87086111111111,7.127138888888888
V50,50.87094444444445,7.127527777777777
V59,50.87013888888889,7.126694444444444
E09,50.87680104166667,7.126137638888888
E10,50.876657083333335,7.12634861111111
E12,50.87636076388889,7.126761388888888
E13,50.876213541666665,7.126975
E14,50.87590256944445,7.127393333333333
E15,50.875750277777776,7.127614305555555
E16,50.875483125,7.127994791666666
E17,50.87529444444444,7.128281597222221
E20,50.875078125,7.128604652777778
E21,50.87485625,7.1289187499999995
E22,50.87465111111111,7.129201111111111
E23,50.87437951388889,7.129586597222222
E24,50.874232847222224,7.129808263888888
E30,50.873910208333335,7.130263888888889
E31,50.87377125,7.130464513888889
E32,50.87350090277778,7.130903819444444
E33,50.873269513888886,7.131220694444444
E34,50.873094375,7.131471736111111
