stand,latcoord,longcoord
01A,53.63452229166667,10.003018888888889
01,53.634199305555555,10.003209305555556
01B,53.63417972222222,10.003144027777779
02A,53.633742291666664,10.00345777777778
02,53.63356125,10.003463194444445
02B,53.6333575,10.00349375
03A,53.63298069444445,10.003573680555554
03,53.63278354166667,10.00359125
03B,53.63251361111111,10.003614583333334
04A,53.63209805555556,10.00364861111111
04,53.63193520833333,10.003656944444444
04B,53.63172138888889,10.003672291666668
05A,53.63116541666667,10.003601944444444
05,53.63101611111111,10.003700208333333
05B,53.63076506944444,10.003587569444445
06A,53.63037784722222,10.00336361111111
06,53.63015816666667,10.003401666666667
06B,53.62998011111111,10.003369611111111
07A,53.62972861111111,10.002712569444444
07,53.629500722222225,10.00275688888889
07B,53.629341458333336,10.002547708333333
08,53.62882638888889,10.002381666666667
09,53.62842444444445,10.002120555555555
10,53.62806944444444,10.002433611111112
11,53.62769888888889,10.002694722222222
12,53.62735416666667,10.003016944444445
42,53.62684111111111,10.003456666666667
43,53.62650722222222,10.00374888888889
44A,53.62564291666666,10.003816736111112
44,53.625545833333334,10.003887986111112
45A,53.625379375,10.00400625
45,53.62521909722222,10.004136666666668
45B,53.62512673611111,10.004212222222222
46A,53.62480736111111,10.00449548611111
46,53.62471847222222,10.004566041666667
47A,53.62455618055556,10.004700208333334
47,53.62439770833333,10.0048375
47B,53.62431013888889,10.004917361111112
48A,53.624100416666664,10.005095208333334
48,53.62403069444444,10.005153333333332
48B,53.62383868055556,10.005300555555555
51,53.63340958333333,10.000681875
52,53.63320902777778,10.000243055555554
53,53.63297472222222,9.999735347222222
54,53.63273652777778,9.99921625
55,53.63250590277778,9.998701805555555
56,53.632611458333336,10.000711458333333
57,53.63237451388889,10.000221388888889
58,53.63210909722222,9.999689791666665
59,53.63186944444445,9.999188333333333
61,53.631514,10.001062
62,53.631261,10.000554
63,53.631018,10.00003
64,53.63070583333334,10.000963055555555
65,53.630475,10.000480555555555
65A,53.630424166666664,10.000331388888888
81,53.629240277777775,9.992230555555555
82,53.628953333333335,9.992491666666666
83,53.62864,9.992774444444443
84,53.62832,9.993105
85,53.62800722222222,9.99334
86,53.62760277777778,9.993655555555554
87,53.62717194444444,9.994025555555554
88,53.626878,9.994348
91A,53.62853166666667,9.990618055555554
91,53.62831638888889,9.990792708333332
91B,53.62815604166667,9.990925277777777
92A,53.62776402777778,9.991210347222221
92,53.62755791666667,9.991379791666667
92B,53.62736743055556,9.991535902777777
93A,53.6270425,9.991795694444443
93,53.626901805555555,9.991978611111112
93B,53.62672409722222,9.992143333333333
101,53.627,9.987194444444444
102,53.62675,9.987416666666666
103,53.626472222222226,9.987638888888888
104,53.626222222222225,9.98786111111111
105,53.62594444444444,9.988083333333332
106,53.62636111111111,9.986472222222222
107,53.62588888888889,9.98686111111111
701,53.62766666666667,9.988722222222222
702,53.627361111111114,9.988972222222221
703,53.62708333333333,9.989222222222221
704,53.626777777777775,9.9895
705,53.6265,9.989777777777777
706,53.626194444444444,9.990027777777778
707,53.62741666666667,9.988027777777777
708,53.62727777777778,9.988138888888889
710,53.62713888888889,9.988277777777776
711,53.627,9.988388888888888
712,53.626472222222226,9.988805555555555
714,53.626305555555554,9.988944444444444
716,53.62616666666667,9.989083333333333
717,53.62602777777778,9.989222222222221
801,53.62733333333333,9.987777777777778
802,53.62716666666667,9.987916666666665
803,53.627027777777776,9.988027777777777
804,53.62688888888889,9.988166666666666
901,53.626416666666664,9.988555555555555
902,53.626222222222225,9.988722222222222
903,53.626083333333334,9.988833333333332
PADW,53.625599375,9.984614722222222
PADE,53.626943958333335,10.001270902777778
POL1,53.62434826388889,9.99690486111111
POL2,53.624184444444445,9.996908819444444
GAT,53.62658208333333,9.988142569444443
APR 4,53.62525104166667,9.995048749999999
APR 5,53.623055625,9.99130798611111
APR 6,53.620997083333336,9.981069652777778
