stand,latcoord,longcoord
RMP1/HNG,49.44394409722222,7.616971180555556
RMP1/1,49.44338527777778,7.614788680555556
RMP1/2,49.44298083333333,7.6148275
RMP1/3,49.44256347222222,7.61487
RMP1/4,49.44214673611111,7.614915138888889
RMP1/5,49.44172263888888,7.614958263888888
RMP1/6,49.44353777777778,7.616271388888888
RMP1/7,49.44304645833333,7.6162834722222215
RMP1/8,49.442629374999996,7.616325416666666
RMP1/9,49.44221222222222,7.616367986111111
RMP1/10,49.44179840277778,7.616498680555556
RMP1/11,49.44137618055555,7.616541805555555
RMP1/13,49.44359958333333,7.617697916666667
RMP1/14,49.44310909722222,7.6177640972222225
RMP1/15,49.44270291666666,7.617805347222223
RMP1/16,49.442305138888884,7.6181784722222226
RMP1/17,49.441873055555554,7.618224791666668
RMP1/18,49.44145131944444,7.618269027777778
RMP1/1-HOT,49.44049409722222,7.61728513888889
RMP1/2-HOT,49.440521249999996,7.617932430555556
RMP1/3-HOT,49.44055208333333,7.618620625
RMP2/1N,49.44162006944444,7.6112730555555554
RMP2/2N,49.44168645833333,7.610368472222222
RMP2/3N,49.441746180555555,7.60957673611111
RMP2/4N,49.44194703703703,7.608815787037036
RMP2/5N,49.44187048611111,7.6078987499999995
RMP2/6N,49.442120312499995,7.60716454861111
RMP2/7N,49.441985555555554,7.60636
RMP2/8N,49.44203798611111,7.605649236111111
RMP2/9N,49.44208881944444,7.6049726388888885
RMP2/10N,49.44213909722222,7.604303194444444
RMP2/11N,49.44218930555555,7.603636041666666
RMP2/12N,49.44223298611111,7.603038263888888
RMP3/1+2,49.442232777777775,7.601681111111111
RMP3/3,49.442388134920634,7.600529603174603
RMP3/4,49.442503888888886,7.59952287037037
RMP3/HNG3,49.44277638888889,7.599890277777778
RMP4/1,49.441517847222215,7.600352916666666
RMP4/2,49.441575486111105,7.599574513888888
RMP4/3,49.44162444444444,7.598916666666667
RMP4/4,49.44167361111111,7.5982594444444445
RMP4/5,49.441720555555555,7.597640208333333
RMP4/6,49.44176652777777,7.597029513888889
RMP5/T1,49.44240623015873,7.5882306746031745
RMP5/T2,49.44244277777778,7.589180992063492
RMP5/3,49.441976249999996,7.583706944444444
RMP5/4W,49.44171972222222,7.583728958333333
RMP5/4,49.441526805555554,7.583745486111111
RMP5/5W,49.44107687499999,7.583783402777778
RMP5/5,49.44101055555555,7.583789722222222
RMP5/6,49.441804722222216,7.585984236111111
RMP5/7,49.44117618055555,7.5860393055555555
RMP5/8,49.44186347222222,7.588199166666666
RMP5/9,49.44125993055555,7.588252847222222
RMP5/10,49.44196763888888,7.590425277777777
RMP5/11,49.44132736111111,7.590481041666666
RMP5/12,49.442049930555555,7.592664444444444
RMP5/13,49.44141034722222,7.592719861111111
RMP5/14,49.44243930555555,7.594837083333333
RMP5/14W,49.442146736111106,7.594862152777777
RMP5/15,49.44193458333333,7.594880486111111
RMP5/15W,49.44148756944444,7.5949188888888886
RMP5/16,49.441436805555554,7.594923958333333
RMP5/17,49.439765763888886,7.581284166666666
RMP5/18,49.439599513888886,7.583917083333333
RMP5/19,49.439631111111105,7.586354398148147
RMP5/20,49.43980618055555,7.588227638888888
RMP5/21,49.43988986111111,7.5900043055555555
RMP5/21W,49.439572361111104,7.590031527777777
RMP5/23,49.439961874999995,7.591748194444444
RMP5/24,49.43950770833333,7.5917868749999995
RMP5/25,49.44002493055555,7.593462777777777
RMP5/26,49.439570624999995,7.593500694444444
RMP5/27,49.44008736111111,7.5951193749999995
RMP5/28,49.439624290123454,7.595469444444444
RMP5/R1,49.43993638888888,7.592889930555556
RMP5/R2,49.43999263888889,7.593987916666666
RMP5/HNG5,49.442305972222215,7.591324212962963
RMP7/1,49.42687761111111,7.582809666666667
RMP7/2,49.426613055555556,7.582689555555556
RMP7/3,49.427532291666665,7.582119513888889
RMP7/4,49.42738689814814,7.581942222222222
RMP7/5,49.42739888888889,7.583166944444445
RMP7/6,49.42749905555556,7.5829066111111105
RMP7/HNG,49.427026805555556,7.583949027777777
RMP8/1,49.431257430555554,7.603676041666667
RMP8/2,49.43140881944444,7.604619236111111
RMP8/3,49.43145555555555,7.604892569444444
RMP8/4,49.43171576388889,7.606146909722222
NORTH SHELTERS,49.44052381944444,7.611353124999999
SOUTH SHELTERS,49.42673872807018,7.577711125730994
RMP1,49.44136410714285,7.615884087301587
RMP2,49.441970069444444,7.607304722222222
RMP3,49.44245284722222,7.6007171527777775
RMP4,49.44163798611111,7.5987535416666665
RMP5,49.44044092592593,7.588324398148147
RMP7,49.42701020833333,7.583171875
RMP8,49.43137041666667,7.6049678472222215
