stand,latcoord,longcoord
4A,53.914390624999996,12.289425277777777
4,53.91443006944444,12.289061944444445
4B,53.91445993055555,12.288757569444444
6,53.914654722222224,12.287822222222221
8,53.91481472222222,12.2868625
10,53.91492111111111,12.286044722222222
12,53.914565277777776,12.285513333333332
16,53.914030833333335,12.284794444444444
GAT1,53.91434726190476,12.287698373015873
GAT2,53.914345231481484,12.291105509259259
APR B,53.92149729166667,12.268520416666668
